modality,signal,embedding_type,embedding_size,metric
auditory,idle,contrastive+autoencoder,8,1.0
auditory,idle,contrastive+autoencoder,8,0.9411764740943908
auditory,idle,contrastive+autoencoder,8,0.3333333432674408
auditory,idle,contrastive+autoencoder,8,0.5
auditory,idle,contrastive+autoencoder,8,1.0
auditory,idle,contrastive+autoencoder,8,1.0
auditory,searching,contrastive+autoencoder,8,0.6666666865348816
auditory,searching,contrastive+autoencoder,8,0.9473684430122375
auditory,searching,contrastive+autoencoder,8,0.0
auditory,searching,contrastive+autoencoder,8,1.0
auditory,searching,contrastive+autoencoder,8,0.0
auditory,searching,contrastive+autoencoder,8,0.3333333432674408
auditory,searching,contrastive+autoencoder,8,1.0
auditory,searching,contrastive+autoencoder,8,0.5
auditory,searching,contrastive+autoencoder,8,1.0
auditory,searching,contrastive+autoencoder,8,0.5
auditory,has_item,contrastive+autoencoder,8,0.800000011920929
auditory,has_item,contrastive+autoencoder,8,1.0
auditory,has_item,contrastive+autoencoder,8,0.5
auditory,has_item,contrastive+autoencoder,8,0.0
auditory,has_item,contrastive+autoencoder,8,1.0
auditory,has_item,contrastive+autoencoder,8,1.0
auditory,has_item,contrastive+autoencoder,8,0.0
auditory,has_item,contrastive+autoencoder,8,1.0
auditory,has_information,contrastive+autoencoder,8,1.0
auditory,has_information,contrastive+autoencoder,8,1.0
auditory,has_information,contrastive+autoencoder,8,0.0
auditory,has_information,contrastive+autoencoder,8,0.0
auditory,has_information,contrastive+autoencoder,8,1.0
auditory,has_information,contrastive+autoencoder,8,1.0
auditory,has_information,contrastive+autoencoder,8,0.0
auditory,has_information,contrastive+autoencoder,8,1.0
auditory,idle,contrastive,8,0.0
auditory,idle,contrastive,8,1.0
auditory,idle,contrastive,8,1.0
auditory,idle,contrastive,8,0.9411764740943908
auditory,idle,contrastive,8,0.6666666865348816
auditory,idle,contrastive,8,0.5
auditory,idle,contrastive,8,1.0
auditory,idle,contrastive,8,1.0
auditory,searching,contrastive,8,0.6666666865348816
auditory,searching,contrastive,8,0.9473684430122375
auditory,searching,contrastive,8,0.3333333432674408
auditory,searching,contrastive,8,1.0
auditory,searching,contrastive,8,0.0
auditory,searching,contrastive,8,0.3333333432674408
auditory,searching,contrastive,8,1.0
auditory,searching,contrastive,8,1.0
auditory,searching,contrastive,8,0.0
auditory,searching,contrastive,8,0.5
auditory,has_item,contrastive,8,1.0
auditory,has_item,contrastive,8,1.0
auditory,has_item,contrastive,8,0.0
auditory,has_item,contrastive,8,0.0
auditory,has_item,contrastive,8,1.0
auditory,has_item,contrastive,8,1.0
auditory,has_item,contrastive,8,0.0
auditory,has_item,contrastive,8,1.0
auditory,has_information,contrastive,8,1.0
auditory,has_information,contrastive,8,1.0
auditory,has_information,contrastive,8,0.0
auditory,has_information,contrastive,8,0.0
auditory,has_information,contrastive,8,1.0
auditory,has_information,contrastive,8,0.0
auditory,has_information,contrastive,8,0.0
auditory,has_information,contrastive,8,1.0
auditory,idle,autoencoder,8,0.0
auditory,idle,autoencoder,8,0.0
auditory,idle,autoencoder,8,1.0
auditory,idle,autoencoder,8,0.9411764740943908
auditory,idle,autoencoder,8,0.3333333432674408
auditory,idle,autoencoder,8,0.0
auditory,idle,autoencoder,8,1.0
auditory,idle,autoencoder,8,1.0
auditory,searching,autoencoder,8,0.6666666865348816
auditory,searching,autoencoder,8,0.9473684430122375
auditory,searching,autoencoder,8,0.3333333432674408
auditory,searching,autoencoder,8,1.0
auditory,searching,autoencoder,8,0.0
auditory,searching,autoencoder,8,0.3333333432674408
auditory,searching,autoencoder,8,1.0
auditory,searching,autoencoder,8,0.5
auditory,searching,autoencoder,8,1.0
auditory,searching,autoencoder,8,0.0
auditory,has_item,autoencoder,8,1.0
auditory,has_item,autoencoder,8,1.0
auditory,has_item,autoencoder,8,0.5
auditory,has_item,autoencoder,8,0.0
auditory,has_item,autoencoder,8,1.0
auditory,has_item,autoencoder,8,1.0
auditory,has_item,autoencoder,8,0.0
auditory,has_item,autoencoder,8,1.0
auditory,has_information,autoencoder,8,1.0
auditory,has_information,autoencoder,8,1.0
